MONTH,DAY,YEAR,HH,MM,SS,mmm,CH1,CH2,CH3,CH4,CH5,CH6,LUX
08,23,2016,23,11,24,254,1,0,0,0,0,0,0.0
08,23,2016,23,11,25,256,1,0,0,0,0,0,0.0
08,23,2016,23,11,26,259,1,0,0,0,0,0,0.0
08,23,2016,23,11,27,260,1,0,0,0,0,0,0.0
08,23,2016,23,11,28,261,1,0,0,0,0,0,0.0
08,23,2016,23,11,29,260,1,0,0,0,0,0,0.0
08,23,2016,23,11,30,259,1,0,0,0,0,0,0.0
08,23,2016,23,11,31,259,1,0,0,0,0,0,0.0
08,23,2016,23,11,32,258,1,0,0,0,0,0,0.0
08,23,2016,23,11,33,258,1,0,0,0,0,0,0.0
08,23,2016,23,11,34,256,1,0,0,0,0,0,0.0
08,23,2016,23,11,35,259,1,0,0,0,0,0,0.0
08,23,2016,23,11,36,256,1,0,0,0,0,0,0.0
08,23,2016,23,11,37,254,1,0,0,0,0,0,0.0
08,23,2016,23,11,38,310,1,0,0,0,0,0,0.0
08,23,2016,23,11,39,313,1,0,0,0,0,0,0.0
08,23,2016,23,11,40,315,1,0,0,0,0,0,0.0
08,23,2016,23,11,41,311,1,0,0,0,0,0,0.0
08,23,2016,23,11,42,253,1,0,0,0,0,0,0.0
08,23,2016,23,11,43,257,1,0,0,0,0,0,0.0
08,23,2016,23,11,44,259,1,0,0,0,0,0,0.0
08,23,2016,23,11,45,262,1,0,0,0,0,0,0.0
08,23,2016,23,11,46,263,1,0,0,0,0,0,0.0
08,23,2016,23,11,47,267,1,0,0,0,0,0,0.0
08,23,2016,23,11,48,271,1,0,0,0,0,0,0.0
08,23,2016,23,11,49,273,1,0,0,0,0,0,0.0
08,23,2016,23,11,50,274,1,0,0,0,0,0,0.0
